#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-08-03T20:21:14.272480Z
Institute: TRIUMF
Operator: ps
Instrument Type: Mitutoyo_CMM
Run Number: 34
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9821	1.0021	0.0523
Sensor	9.3218	0.2341	0.0360
Sensor	17.6725	-0.4248	0.0240
Sensor	26.0311	-0.9741	0.0137
Sensor	34.3962	-1.4139	0.0058
Sensor	42.7664	-1.7439	0.0024
Sensor	51.1402	-1.9641	0.0011
Sensor	59.5158	-2.0763	0.0001
Sensor	43.2608	6.4511	-0.0110
Sensor	51.5254	6.2365	-0.0109
Sensor	59.7938	6.1302	-0.0132
Sensor	4.4233	29.2217	0.0136
Sensor	12.3928	28.4948	0.0072
Sensor	20.3728	27.8738	-0.0024
Sensor	28.3605	27.3574	-0.0082
Sensor	36.3542	26.9457	-0.0135
Sensor	44.3525	26.6390	-0.0166
Sensor	52.3541	26.4354	-0.0204
Sensor	60.3577	26.3382	-0.0218
Sensor	68.3620	26.3461	-0.0212
Sensor	76.3654	26.4588	-0.0189
Sensor	84.3667	26.6765	-0.0121
Sensor	92.3645	26.9990	-0.0096
Sensor	100.3572	27.4263	-0.0042
Sensor	108.3420	27.9569	0.0017
Sensor	116.3209	28.5935	0.0079
Sensor	124.2907	29.3348	0.0175
Sensor	5.1322	35.0822	0.0109
Sensor	13.0248	34.3655	0.0048
Sensor	20.9279	33.7523	0.0016
Sensor	28.8384	33.2427	-0.0045
Sensor	36.7547	32.8369	-0.0097
Sensor	44.6756	32.5348	-0.0147
Sensor	52.5999	32.3366	-0.0165
Sensor	60.5259	32.2406	-0.0167
Sensor	68.4526	32.2501	-0.0180
Sensor	76.3786	32.3636	-0.0159
Sensor	84.3024	32.5809	-0.0115
Sensor	92.2227	32.9021	-0.0087
Sensor	100.1381	33.3270	-0.0038
Sensor	108.0472	33.8557	0.0050
Sensor	115.9486	34.4864	0.0107
Sensor	123.8411	35.2222	0.0188
Sensor	6.1830	43.7307	0.0117
Sensor	13.9622	43.0253	0.0047
Sensor	21.7517	42.4235	-0.0008
Sensor	29.5484	41.9239	-0.0048
Sensor	37.3511	41.5264	-0.0081
Sensor	45.1582	41.2313	-0.0100
Sensor	52.9686	41.0384	-0.0112
Sensor	60.7808	40.9480	-0.0122
Sensor	68.5935	40.9600	-0.0135
Sensor	76.4054	41.0744	-0.0101
Sensor	84.2151	41.2913	-0.0085
Sensor	92.0213	41.6104	-0.0052
Sensor	99.8225	42.0302	0.0008
Sensor	107.6177	42.5538	0.0039
Sensor	115.4037	43.1797	0.0093
Sensor	123.1825	43.9076	0.0182
Sensor	7.2120	52.3709	0.0094
Sensor	14.8779	51.6800	0.0050
Sensor	22.5537	51.0895	0.0012
Sensor	30.2366	50.5996	0.0014
Sensor	37.9254	50.2104	-0.0034
Sensor	45.6186	49.9221	-0.0049
Sensor	53.3149	49.7346	-0.0063
Sensor	61.0130	49.6480	-0.0046
Sensor	68.7116	49.6624	-0.0055
Sensor	76.4093	49.7775	-0.0062
Sensor	84.1049	49.9937	-0.0036
Sensor	91.7969	50.3106	-0.0017
Sensor	99.4841	50.7284	0.0006
Sensor	107.1650	51.2452	0.0062
Sensor	114.8387	51.8642	0.0111
Sensor	122.5037	52.5839	0.0206
Sensor	8.2510	61.0129	0.0064
Sensor	15.8032	60.3332	0.0048
Sensor	23.3655	59.7541	0.0029
Sensor	30.9346	59.2741	0.0011
Sensor	38.5112	58.8931	-0.0019
Sensor	46.0903	58.6117	-0.0026
Sensor	53.6726	58.4297	0.0001
Sensor	61.2566	58.3469	0.0025
Sensor	68.8410	58.3638	0.0008
Sensor	76.4245	58.4800	0.0011
Sensor	84.0059	58.6954	0.0028
Sensor	91.5837	59.0103	0.0070
Sensor	99.1568	59.4245	0.0076
Sensor	106.7238	59.9380	0.0112
Sensor	114.2832	60.5489	0.0158
Sensor	121.8343	61.2605	0.0255
